t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,roll_rate,pitch_rate,yaw_rate
9.2999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.4000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.4999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.6001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.7000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.8001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.9001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.9999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.0999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.1999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.3001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.4001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.5001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.5999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.7000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.8000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
10.8999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.0000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.1000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.1999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.3001,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.4000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.5000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.5999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
11.7000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
