scenario,condition,uncertainty,planner,resolution,runs,pct_SUCESSO,pct_SEM_CAMINHO,pct_TIMEOUT,pct_ENERGIA_INSUFICIENTE,pct_TEMPO_TOTAL_EXCEDIDO,pct_COLISAO,t_initial_ms_mean,t_initial_ms_std,t_first_solution_ms_mean,t_first_solution_ms_std,n_replans_mean,n_replans_std,replan_ms_mean_mean,replan_ms_mean_std,replan_ms_max_mean,replan_ms_max_std,initial_pct_budget_mean,initial_pct_budget_std,replan_pct_budget_max_mean,replan_pct_budget_max_std,energy_planned_wh_mean,energy_planned_wh_std,energy_exec_wh_mean,energy_exec_wh_std,abs_delta_e_wh_mean,abs_delta_e_wh_std,length_planned_m_mean,length_planned_m_std,length_exec_m_mean,length_exec_m_std,n_waypoints_mean,n_waypoints_std,min_clearance_m_mean,min_clearance_m_std,mission_time_s_mean,mission_time_s_std,realtime_ok_pct
C4,K4,0.1,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2614.966,84.144,2614.966,84.144,0.0,0.0,,,,,5.131,0.192,,,0.833,0.005,1.076,0.008,0.244,0.005,50.974,0.266,51.502,0.22,6.0,0.0,3.4,0.079,51.667,0.249,100.0
C4,K4,0.1,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,395.675,15.679,395.675,15.679,0.0,0.0,,,,,0.769,0.026,,,0.855,0.03,1.029,0.066,0.174,0.096,51.454,0.371,51.359,0.246,5.333,0.471,4.164,0.16,51.333,0.34,100.0
C4,K4,0.1,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5007.396,2.231,87.946,19.885,0.0,0.0,,,,,9.89,0.679,,,0.915,0.073,1.186,0.098,0.271,0.066,50.873,3.555,51.813,3.276,5.667,0.789,3.576,1.812,43.92,10.483,100.0
C4,K4,0.2,astar,1.0,3,66.7,0.0,33.3,0.0,0.0,0.0,2564.097,14.565,2564.097,14.565,0.0,0.0,,,,,4.753,0.011,,,0.848,0.002,1.09,0.001,0.242,0.001,53.949,0.43,54.566,0.254,8.5,0.5,5.428,0.033,56.8,0.8,100.0
C4,K4,0.2,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,7404.065,80.09,7404.065,80.09,0.0,0.0,,,,,13.41,0.241,,,0.881,0.028,1.052,0.069,0.171,0.097,55.22,0.401,55.055,0.297,8.0,0.0,6.231,0.164,57.6,0.327,100.0
C4,K4,0.2,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5006.772,3.772,97.968,31.355,0.0,0.0,,,,,10.004,0.961,,,1.036,0.057,1.296,0.071,0.26,0.048,50.62,5.993,51.632,5.754,6.0,1.713,2.447,2.085,35.227,10.653,100.0
C5,K1,,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,991.385,51.744,991.385,51.744,0.0,0.0,,,,,2.393,0.127,,,0.437,0.0,0.45,0.001,0.013,0.001,41.432,0.043,41.626,0.036,4.0,0.0,1.681,0.13,42.667,0.094,100.0
C5,K1,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,144.081,9.781,144.081,9.781,0.0,0.0,,,,,0.344,0.025,,,0.443,0.003,0.455,0.003,0.012,0.001,41.932,0.271,42.08,0.256,3.333,0.471,1.795,0.094,43.133,0.249,100.0
C5,K1,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5005.805,1.931,105.752,25.303,0.0,0.0,,,,,11.688,0.334,,,0.452,0.013,0.465,0.013,0.012,0.001,42.863,1.254,42.929,1.157,3.5,0.563,1.851,0.244,44.04,1.172,100.0
C5,K2,,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,1003.467,46.022,1003.467,46.022,1.0,0.0,758.544,49.692,758.544,49.692,2.424,0.111,1.833,0.118,0.437,0.001,0.456,0.0,0.019,0.001,41.391,0.055,41.901,0.037,3.0,0.0,1.847,0.115,43.759,0.05,100.0
