scenario,condition,uncertainty,planner,resolution,seed,status,detail,t_initial_ms,t_first_solution_ms,n_replans,replan_ms_mean,replan_ms_max,initial_pct_budget,replan_pct_budget_max,realtime_ok,energy_planned_wh,energy_exec_wh,delta_e_wh,abs_delta_e_wh,e_air_wh,e_water_wh,e_transition_wh,length_planned_m,length_exec_m,n_waypoints,min_clearance_m,mission_time_s,wall_s
C1,K2,,rrt_star,,2,SUCESSO,,5016.682963001585,659.4390590016701,0,,,2.6168199408813955,,1,3.959940083133339,4.193515628950151,-0.23357554581681228,0.23357554581681228,4.193515628950151,0.0,0.0,191.70913843280596,192.92993593419553,4,1.7387688456726627,67.60000000000042,5.16338322699994
C1,K2,,rrt_star,,1,SUCESSO,,5014.0215039991745,328.68553799926303,1,195.62545900043915,195.62545900043915,2.7372651122450318,0.10679625996053788,1,3.783686200417883,4.096356847482621,-0.312670647064738,0.312670647064738,4.096356847482621,0.0,0.0,183.1763201002773,186.90057797448733,4,1.4945869100293292,65.99562545900083,5.865190169000925
C1,K2,,rrt_star,,4,SUCESSO,,5009.8174790000485,515.4384180004854,0,,,2.7410631921275224,,1,3.7752755761166465,4.00724142482896,-0.23196584871231352,0.23196584871231352,4.00724142482896,0.0,0.0,182.76913474262497,184.00110593414192,3,1.7633937452304194,64.60000000000038,5.525980733000324
C1,K2,,rrt_star,,5,SUCESSO,,5016.139368999575,369.29090000012366,1,35.6546460006939,35.6546460006939,2.774557500121881,0.019721514535020943,1,3.7344071643610843,3.9720072378428903,-0.237600073481806,0.237600073481806,3.9720072378428903,0.0,0.0,180.79060782770676,182.0923473960517,4,1.115316310823867,64.03565464600106,5.6520997789994
C1,K2,,rrt_star,,3,SUCESSO,,5016.083357000753,452.8318220000074,1,38.33434899934218,38.33434899934218,2.767593694786829,0.02115074551866569,1,3.743761754186781,3.9851476770920025,-0.24138592290522132,0.24138592290522132,3.9851476770920025,0.0,0.0,181.24348839388114,182.83038926003564,4,1.1823107402581785,64.23833434899971,5.90527469799963
C1,K2,,rrt_star,,8,SUCESSO,,5020.647816998462,413.16272699987167,1,133.78788800037,133.78788800037,2.750376004464088,0.07329074060887455,1,3.770626226560082,4.130554550176258,-0.35992832361617655,0.35992832361617655,4.130554550176258,0.0,0.0,182.54405248044395,187.85623022566276,5,1.6360002652840515,66.53378788800077,5.856058112000028
C1,K2,,rrt_star,,7,SUCESSO,,5013.027289000092,412.76905800077657,1,100.9182249999867,100.9182249999867,2.770620118517956,0.05577589117131171,1,3.737393992887347,3.9760208869734965,-0.23862689408614957,0.23862689408614957,3.9760208869734965,0.0,0.0,180.93520852947648,182.06306547326406,4,1.1076527340385756,64.10091822500036,5.871609476000231
C1,K2,,rrt_star,,0,SUCESSO,,5008.481960001518,524.6885440010374,4,202.49504025014176,349.31528200104367,2.7611547510379335,0.1925760256720671,1,3.7468056575643662,4.033023315841353,-0.28621765827698686,0.28621765827698686,4.033023315841353,0.0,0.0,181.39084591759305,182.78428913372,3,1.1933320118356132,65.00998016100095,6.704588349000915
C1,K2,,rrt_star,,6,SUCESSO,,5010.446877999129,418.98778599897923,2,240.54528450051293,374.5120240000688,2.775340089412892,0.20744621377756772,1,3.729117295740682,4.050175248949771,-0.32105795320908914,0.32105795320908914,4.050175248949771,0.0,0.0,180.53451889058618,184.26254273677495,3,1.2297890383111345,65.2810905690014,6.422504458998446
C1,K2,,astar,2.0,0,SUCESSO,replanner setup 6.10s,3071.9471909997083,3071.9471909997083,2,83.14477849944524,83.96739099953265,1.6965855727060268,0.04637379983775461,1,3.7401048715257845,4.042662609363231,-0.30255773783744644,0.30255773783744644,4.042662609363231,0.0,0.0,181.06644547849135,185.15209749056538,3,1.1233655933904774,65.16628955699927,9.758956061999925
